id,text,incident_types,type_labels,severity,severity_label
11244,i m still so depressed i couldn t make it to swstheband and piercetheveil nov 1st i was looking forward to it for months fuck you sandy,"['emergency', 'aid_related', 'medical_help', 'weather_related', 'storm', 'direct_report']","[9, 1, 15, 34, 30, 6]",Red,2
10639,i would like to help on christmas i can cook deliver food serve meals i think food is love and that s how i can best help i am a middle aged woman with a car i ca n t do any physical labor as listed above,"['emergency', 'aid_related', 'food']","[9, 1, 12]",Yellow,1
12010,government rescue workers evacuated residents and said they found them shelter in nearby youth centres and in open fields,"['emergency', 'aid_related', 'search_and_rescue', 'shelter', 'refugees']","[9, 1, 26, 28, 24]",Red,2
1493,delmas 41 across from teleco need help food,"['emergency', 'request', 'aid_related', 'food', 'other_aid']","[9, 25, 1, 12, 21]",Yellow,1
12369,distribution of supplementary food parcels and community recovery tool kits is now underway,"['emergency', 'aid_related', 'medical_products', 'food', 'other_aid', 'tools']","[9, 1, 16, 12, 21, 31]",Yellow,1
13027,towns and villages across northern pakistan and parts of kashmir have turned into makeshift refugee camps with shocked survivors huddling under whatever they can find as they wait for aid that many say has been too slow coming,"['emergency', 'aid_related', 'shelter', 'other_aid', 'infrastructure_related', 'aid_centers']","[9, 1, 28, 21, 14, 0]",Yellow,1
8670,around 70 us aid workers along with rescue dogs headed to nepal aboard a military transport plane which flew from dover air force base in delaware,"['emergency', 'aid_related', 'military']","[9, 1, 17]",Yellow,1
12767,in most severely affected areas people are increasingly eating wild plants cactus fruit or raketa,"['emergency', 'aid_related', 'food']","[9, 1, 12]",Yellow,1
4574,bhuj india february 6 2001 with no more miracle rescues expected from the rubble of western india relief operations for the survivors have now begun in earnest in the indian state of gujurat,"['emergency', 'aid_related', 'search_and_rescue']","[9, 1, 26]",Red,2
12628,when will these aftershocks finish,"['emergency', 'weather_related', 'earthquake']","[9, 34, 7]",Red,2
385,rainfall is erratic the soil is depleted of nutrients because of overplanting and seeds and fertilizers are expensive,['emergency'],[9],Green,0
1346,xinjiang was gripped by a cold snap from jan 1 to 8 which brought heavy snow and drastic temperature plunge especially in tacheng and altay regions,"['emergency', 'weather_related', 'cold']","[9, 34, 4]",Yellow,1
14130,pewoden fifth section of the departemen of l artibonite is lettin u know today the plan we have for those injured in the eartquake like many of those in p,"['emergency', 'weather_related', 'earthquake', 'direct_report']","[9, 34, 7, 6]",Red,2
2783,typhoon morakot slammed into taiwan on august 8 dumping more than three metres 120 inches of rain that unleashed floods and mudslides which tore through houses and buildings ripped up roads and smashed bridges,"['emergency', 'transport', 'buildings', 'weather_related', 'floods', 'storm']","[9, 32, 2, 34, 11, 30]",Red,2
6110,the severe cyclonic storm had claimed 40 lives in tamil nadu and seven in puducherry,"['emergency', 'aid_related', 'death', 'weather_related', 'storm']","[9, 1, 5, 34, 30]",Black,3
17691,hello i don t know where they are giving out food distribution cards please send me an sms,['emergency'],[9],Green,0
16876,nisa informed the iec that a meeting is planned with tepco to determine the origin and path of water in the turbine buildings of units 1 to 4,"['emergency', 'aid_related', 'security', 'water', 'infrastructure_related', 'shops', 'weather_related', 'earthquake', 'direct_report']","[9, 1, 27, 33, 14, 29, 34, 7, 6]",Red,2
438,the health cluster goal is to save lives and reduce avoidable morbidity and mortality through coordinated public health interventions at national and peripheral level with better targeted and cost effective actions information management and strengthened disease surveillance and response for urgent humanitarian gaps,"['emergency', 'aid_related', 'medical_help']","[9, 1, 15]",Red,2
4667,do that we have the risk of earthquake this weekend,['emergency'],[9],Green,0
18278,this work was supplemented by mapping the number of cases against building density in freetown and advising the water and sanitation authorities where to put fresh water tap stands,['emergency'],[9],Green,0
322,the undersea quakes triggered enormous tidal waves that swept across the indian ocean striking coastal regions of sri lanka india indonesia thailand bangladesh burma and malaysia and elsewhere,"['emergency', 'aid_related', 'medical_help', 'transport', 'weather_related', 'floods', 'earthquake', 'direct_report']","[9, 1, 15, 32, 34, 11, 7, 6]",Red,2
12004,help for haiti earthquake aftermath giving green http rep ly 1lxti,"['emergency', 'request', 'aid_related', 'other_aid', 'weather_related', 'earthquake']","[9, 25, 1, 21, 34, 7]",Red,2
8939,the parcels worth 200 000 contain flour sunflower oil sugar macaroni beans rice yeast canned tomatoes and salt,"['emergency', 'request', 'aid_related', 'food', 'other_aid']","[9, 25, 1, 12, 21]",Yellow,1
11018,i m under the rain with all my family can i find a tent please thanks in advance,"['emergency', 'request', 'aid_related', 'shelter', 'weather_related', 'storm', 'direct_report']","[9, 25, 1, 28, 34, 30, 6]",Red,2
5090,pmi provided 60 plastic sheeting blood bags and serum for blood test 50 body bags 60 mosquito nets and 100 family kits,"['emergency', 'aid_related', 'medical_help']","[9, 1, 15]",Red,2
17876,full circle my local collecting supplies and making lunches for sandyrelief full circle bar http t co ehlqbhhw,"['emergency', 'aid_related', 'food', 'direct_report']","[9, 1, 12, 6]",Yellow,1
9845,they re forming committees conducting drought monitoring and assessment activities identifying local coping measures and all of this will have a very positive impact on vulnerable groups,['emergency'],[9],Green,0
4170,1 november 2012 7 35 p m moscow time a russian emergency ministry s il 76 landed in santiago de cuba delivering 32 tons of humanitarian aid to people of cuba affected by superstorm sandy,"['emergency', 'aid_related', 'other_aid', 'weather_related', 'storm']","[9, 1, 21, 34, 30]",Red,2
11982,i would like to donate a turkey for thanksgiving,"['emergency', 'aid_related', 'food', 'money', 'direct_report']","[9, 1, 12, 19, 6]",Yellow,1
971,y1headlines nysandy from jackson heights queens http t co eue11ecrchasing the dream sandy frankenstormproblems chase http t co wyl5hz4bfolks there s still no electricity below 34th st meaning the stop lights don t work keep off the roads,"['emergency', 'electricity', 'weather_related', 'storm', 'direct_report']","[9, 8, 34, 30, 6]",Red,2
6808,h ö alguns dias n ö o tem tremido a terra mas agora voltou a tremer when the aftershocks will stop chile santiago,['emergency'],[9],Green,0
4894,so far with the exception of the deadly outbreaks in mexico the virus has tended to cause very mild illness in otherwise healthy people it said,"['emergency', 'aid_related', 'medical_help', 'medical_products']","[9, 1, 15, 16]",Red,2
16306,in contrast to conditions in the south china s northern regions have seen more rain than usual this summer,"['emergency', 'weather_related', 'storm', 'direct_report']","[9, 34, 30, 6]",Red,2
13410,a compounding factor has been the insecurity in northern mali which has led to more than 450 000 people being displaced including 185 000 internally and 265 000 as refugees to neighbouring countries,"['emergency', 'aid_related', 'security', 'refugees']","[9, 1, 27, 24]",Yellow,1
8358,i want to give blood where do i go,"['emergency', 'offer', 'aid_related', 'medical_help', 'medical_products', 'transport', 'weather_related', 'floods']","[9, 20, 1, 15, 16, 32, 34, 11]",Red,2
17631,on friday at 12 50 p m eight armed men opened fire on a two vehicle un convoy in paktika in the southeast on its way from the village of waza khan to khair kot,"['emergency', 'aid_related', 'military']","[9, 1, 17]",Yellow,1
1456,experience as a public school teacher and a teaching artist comfortable with public speaking intermediate spanish language skills can distribute food or information,"['emergency', 'aid_related', 'military', 'transport', 'weather_related', 'earthquake']","[9, 1, 17, 32, 34, 7]",Red,2
16508,the policy based on one developed for farmers in mexico and in ethiopia triggers a payout to a renewable energy generator when wind levels drop below a certain predetermined level,['emergency'],[9],Green,0
19342,b sierra leonean refugees displaced in south east guinea continue to be repatriated to freetown,"['emergency', 'aid_related', 'refugees']","[9, 1, 24]",Yellow,1
10157,fish rearing ponds which normally contribute towards much of the area s livelihood and employment have been totally destroyed,['emergency'],[9],Green,0
3274,indigenous people are considered more at risk from the h1n1 influenza strain as many have health problems such as morbid obesity diabetes and liver disease the government says,"['emergency', 'aid_related', 'medical_help']","[9, 1, 15]",Red,2
12467,two health clinics in the maslakh idp camps supported by unicef have already received heating stoves and fuel,"['emergency', 'aid_related', 'medical_help', 'refugees', 'other_aid']","[9, 1, 15, 24, 21]",Red,2
19765,almost all children under five or around 2 5 million received polio vaccine,['emergency'],[9],Green,0
4021,satlak pb trenggalek reported 20 apr that the flash floods and landslides have killed 16 people 13 in bendungan sub district two in trenggalek sub district and one in pogalan sub district and badly injured two others in trenggalek sub district,"['emergency', 'aid_related', 'money', 'death', 'tools', 'weather_related', 'other_weather']","[9, 1, 19, 5, 31, 34, 23]",Black,3
2585,the first report compiling information on cargo flights that have arrived into myanmar and thailand for the response has been finalized by the logistics cluster and made available on the cluster webpage http www logcluster org mm08a,"['emergency', 'aid_related', 'search_and_rescue', 'other_aid', 'infrastructure_related', 'other_infrastructure']","[9, 1, 26, 21, 14, 22]",Red,2
13604,baucks says lack of sterilization is a critical issue right now at the hospital making surgeries difficult,"['emergency', 'aid_related', 'medical_help']","[9, 1, 15]",Red,2
11605,may god bless haiti thank you,['emergency'],[9],Green,0
11499,i can donate clothing food cleaning supplies etc i would like to create a clothing and food drive on the uws and then bring it to you may of us uptown don t know how to effectively donate goods,"['emergency', 'aid_related', 'medical_products', 'food', 'clothing']","[9, 1, 16, 12, 3]",Yellow,1
1147,before the advent of multiparty democracy in 1992 kenya held a large number of political prisoners in detention under provisions of the act,['emergency'],[9],Green,0
7305,as the ebola outbreak spreads sos children s villages programmes in west africa are on high alert and taking the strictest measures to avoid infections,"['emergency', 'aid_related', 'medical_help']","[9, 1, 15]",Red,2
15891,according to wfp rain snow sleet and hail have resulted in numerous landslides and fallen rocks throughout the area of operations and in muzaffarabad,"['emergency', 'transport', 'weather_related', 'storm', 'cold']","[9, 32, 34, 30, 4]",Red,2
14575,the tremor occurred in the juncture of pingwu and beichuan counties in mianyang city,"['emergency', 'weather_related', 'earthquake']","[9, 34, 7]",Red,2
19064,these lands were totally submerged by water causing severe damages to crops,"['emergency', 'aid_related', 'search_and_rescue', 'infrastructure_related', 'hospitals', 'weather_related', 'cold']","[9, 1, 26, 14, 13, 34, 4]",Red,2
8466,pity for makonb did you forget this district,['emergency'],[9],Green,0
6248,each one hour cry mercy for mercy for haiti do it with faith cause only god can put us out of that situation send this message for ten other peoples,['emergency'],[9],Green,0
18337,in partnership with these ngos world vision is providing supply tents blankets cooking utensils food water drilling equipment and other emergency supplies needed for refugee camps,"['emergency', 'aid_related', 'medical_products', 'search_and_rescue', 'water', 'food', 'shelter', 'missing_people', 'refugees', 'death', 'other_aid', 'transport', 'weather_related', 'floods']","[9, 1, 16, 26, 33, 12, 28, 18, 24, 5, 21, 32, 34, 11]",Black,3
14335,i want to know if the earthquakes are finished please send us information,"['emergency', 'request', 'aid_related', 'other_aid', 'weather_related', 'earthquake']","[9, 25, 1, 21, 34, 7]",Red,2
7930,hungry sandy storm survivors my fire escape http t co 2rtxfzan,"['emergency', 'request', 'aid_related', 'food', 'weather_related', 'storm']","[9, 25, 1, 12, 34, 30]",Red,2
8238,in southern afghanistan undcp kandahar organized a field day for the farmers and district shura members of khakriz district to visit undcp funded projects in the district,['emergency'],[9],Green,0
15278,china periodically faces spills into rivers that result in water supplies being cut off most seriously in 2005 when an explosion at an industrial plant sent toxic chemicals streaming into the songhua river further upstream in harbin,"['emergency', 'infrastructure_related', 'other_infrastructure', 'weather_related', 'floods']","[9, 14, 22, 34, 11]",Red,2
17814,volunteer medical practitioners and paramedics are being organized to provide free medical services in areas with a high incidence of upper respiratory illnesses diarrhea and skin diseases,"['emergency', 'aid_related', 'medical_help', 'medical_products', 'other_aid']","[9, 1, 15, 16, 21]",Red,2
19274,rt aribnews cnn chile reports people in concepcion are evacuating to the highlands after 7 2 aftershock fear of tsunami via ve,"['emergency', 'weather_related', 'earthquake']","[9, 34, 7]",Red,2
19376,i want to know if the earthquake has finished,"['emergency', 'aid_related', 'other_aid', 'weather_related', 'earthquake', 'direct_report']","[9, 1, 21, 34, 7, 6]",Red,2
7294,notes this is not an emergency message,['emergency'],[9],Green,0
15101,good evening we live in bon repos in the area of rose amber at the entrance of route since january 12th no one came to see us our house is destroyed we are in the street and we are asking for aid,"['emergency', 'request', 'aid_related', 'search_and_rescue', 'refugees', 'other_aid', 'buildings', 'weather_related', 'other_weather', 'direct_report']","[9, 25, 1, 26, 24, 21, 2, 34, 23, 6]",Red,2
11144,hi delmas 32 people without power i would like to edh given every midi help me please because the electricity can current stress,"['emergency', 'request', 'aid_related', 'other_aid', 'direct_report']","[9, 25, 1, 21, 6]",Yellow,1
16953,the assistance community will also focus on monitoring dams and watercourses which will provide useful information on the impact of the drought on crops,['emergency'],[9],Green,0
10952,in answering your question i d just like to make a quick point if i could and that is that the unprecedented generosity of the australian people in response to the tsunami has been met by an unprecedented level of cooperation between australian aid agencies,"['emergency', 'weather_related', 'floods']","[9, 34, 11]",Red,2
12754,each kit included two 10 litre buckets water purification tablets and soap,"['emergency', 'aid_related', 'medical_products', 'water']","[9, 1, 16, 33]",Yellow,1
10373,the size of evacuation camps varies in each location and diseases such as respiratory tract infection skin disorders body aches diarrhea and gastritis are commonly seen,"['emergency', 'aid_related', 'medical_help', 'medical_products', 'shelter', 'refugees', 'other_aid', 'infrastructure_related', 'aid_centers']","[9, 1, 15, 16, 28, 24, 21, 14, 0]",Red,2
5224,is it true that there will be more earthquake tonight,"['emergency', 'aid_related', 'search_and_rescue', 'infrastructure_related', 'hospitals', 'weather_related', 'earthquake', 'cold']","[9, 1, 26, 14, 13, 34, 7, 4]",Red,2
8700,i lost my mother and my father and other people who died these people are very dear to me for now i am living with someone who needs help note call for location,"['emergency', 'request', 'aid_related', 'death', 'other_aid', 'direct_report']","[9, 25, 1, 5, 21, 6]",Black,3
12029,authorities in afghanistan have cooperated in issuing the necessary flight clearances,['emergency'],[9],Green,0
3268,key foreign backers of the peace process to end sri lanka s decades old civil war this week expressed concern at escalating violence in the east and asked the government and the tiger rebels to stop the bloodshed,"['emergency', 'aid_related', 'death', 'infrastructure_related', 'other_infrastructure', 'weather_related', 'other_weather']","[9, 1, 5, 14, 22, 34, 23]",Black,3
10168,the outer bands of the storm lashed hong kong overnight with heavy rain and strong winds but the city was spared a direct hit as the typhoon veered west towards hainan,"['emergency', 'weather_related', 'storm']","[9, 34, 30]",Red,2
5059,quetta 22 may irin although ngos have mushroomed in thousands rutted roads open sewers flying plastic bags swarms of flies and nets of electricity wires hanging overhead in nawai killi or new village in the suburbs of quetta the capital of pakistan s southwestern balochistan province present a grim picture of community development,"['emergency', 'request', 'infrastructure_related', 'electricity', 'other_infrastructure', 'direct_report']","[9, 25, 14, 8, 22, 6]",Yellow,1
1729,the movement called subduction creates two results a build up of tension resulting in earth tremors and the release of magma as the melting lower plate shoots back up to the surface,"['emergency', 'weather_related', 'earthquake']","[9, 34, 7]",Red,2
13954,please i am alone and i d like to know if there is somebody out there who would like to adopt an adolescent please adopt me,['emergency'],[9],Green,0
19838,im a victim im on the street in mariani 5 prolongated road 24 thank you,"['emergency', 'request', 'aid_related', 'military', 'shelter', 'infrastructure_related', 'hospitals', 'weather_related', 'other_weather', 'direct_report']","[9, 25, 1, 17, 28, 14, 13, 34, 23, 6]",Red,2
18325,since the lack of access to latrines in rural cameroon often leads to open defecation drinking water sources are prone to contamination from fecal bacteria,['emergency'],[9],Green,0
7895,it is a small lava lake and not a big one as suspected from the strong degassing,"['emergency', 'weather_related', 'other_weather']","[9, 34, 23]",Yellow,1
19642,how can i find a pass for the food distribution programm please,"['emergency', 'request', 'aid_related', 'food', 'other_aid']","[9, 25, 1, 12, 21]",Yellow,1
10423,please i was accept the university of quebec the person who maintain to me died in the earthquake of january 12 2010 please help me so that i can finish the study thank you,"['emergency', 'request', 'aid_related', 'money', 'other_aid', 'direct_report']","[9, 25, 1, 19, 21, 6]",Yellow,1
351,the bio control technology involves introducing a virus that attacks maruca vitrata larvae inside the cowpea,"['emergency', 'aid_related', 'medical_help']","[9, 1, 15]",Red,2
18526,the humanitarian community concerned about the possibility of renewed conflict and its potential regional implications has been engaged in high level advocacy efforts to ensure the preservation of humanitarian space for aid delivery,['emergency'],[9],Green,0
16987,the sms i thank the minister said public health medical blood frontiere camep mine and others for doing good work and continue to do ya for the population,['emergency'],[9],Green,0
