id,text,incident_types,severity,type_labels,severity_label,lang
112,"May ulan di tumitigil, konting galos lang.",['Natural Disaster'],Green,[4],0,fil
113,"Emergency: kitchen smoke, can wait.",['Fire'],Yellow,[0],1,en
114,"may gubat na mapapasok at jeep tumama sa poste, hindi na umaandar.","['Other', 'Accident']",Black,"[5, 2]",3,fil
115,"Emergency: unauthorized entry, needs treatment soon. pls",['Other'],Yellow,[5],1,en
116,"May banggaan sa highway, hindi makahinga.",['Accident'],Red,[2],2,fil
117,"truck accident, life-threatening.",['Accident'],Red,[2],2,en
118,"Boss may gasoline sunog, medyo masakit.",['Fire'],Yellow,[0],1,fil
119,"tumatakbo ang apoy dito sa plaza, puwedeng delayed!",['Fire'],Yellow,[0],1,fil
120,"Boss may nadaganan ng gamit, wala nang pulso. po",['Accident'],Black,[2],3,fil
121,"basag na rehistro at chemical fire nangyari, deceased. Padala agad.","['Other', 'Fire']",Black,"[5, 0]",3,fil
122,"Biglaang chemical fire at flash flood, medyo masakit!","['Fire', 'Natural Disaster']",Yellow,"[0, 4]",1,fil
123,"May may nagnakaw, kaya pang maghintay.",['Crime'],Green,[1],0,fil
124,"Tulong! nahihirapang huminga, hindi na umaandar.",['Medical'],Black,[3],3,fil
125,"Tulong! nagwawala ang tao at lupa gumuho, kailangan tignan. pls","['Other', 'Natural Disaster']",Yellow,"[5, 4]",1,fil
126,may nagnakaw sa market. medyo masakit.,['Crime'],Yellow,[1],1,fil
127,"Boss may stroke, walang buhay.",['Medical'],Black,[3],3,fil
128,"Nag-report ng diabetic emergency at tumubalik na kuryente, kailangan tignan.","['Medical', 'Other']",Yellow,"[3, 5]",1,fil
129,"baha sa kalsada dito sa plaza, safe naman!",['Natural Disaster'],Green,[4],0,fil
130,"bugbugan at may batang umiiyak nangyari, safe naman. Padala agad.","['Crime', 'Other']",Green,"[1, 5]",0,fil
131,Grabe sira ang tulay at pagpatay! wala nang pulso. Bilisan!,"['Other', 'Crime']",Black,"[5, 1]",3,fil
132,"Biglaang gasoline sunog at jeep tumama sa poste, puwedeng delayed!","['Fire', 'Accident']",Yellow,"[0, 2]",1,fil
133,"Biglaang hangin nilipat ang yero at nahihirapang huminga, konting galos lang!","['Natural Disaster', 'Medical']",Green,"[4, 3]",0,fil
134,grabe kidnapping! kailangan ng tulong pero stable. bilisan!,['Crime'],Yellow,[1],1,fil
135,flash flood at kuryente sunog sa Bagong Silang. ok lang.,"['Natural Disaster', 'Fire']",Green,"[4, 0]",0,fil
136,"Nag-report ng hangin nilipat ang yero at mayroon na bukas na iwanan, walang sugat.","['Natural Disaster', 'Other']",Green,"[4, 5]",0,fil
137,"Emergency: seizure, no pulse.",['Medical'],Black,[3],3,en
138,"Emergency: motorcycle collision, minor only.",['Accident'],Green,[2],0,en
139,"Biglaang stampede at motor crash, deceased!","['Other', 'Accident']",Black,"[5, 2]",3,fil
140,"Biglaang riot, hindi na umaandar!",['Other'],Black,[5],3,fil
141,"Nag-report ng bugbugan, agarang emergency.",['Crime'],Red,[1],2,fil
142,Grabe hindi humihinga! medyo masakit. Bilisan!,['Medical'],Yellow,[3],1,fil
143,"Tulong! sugatan at gasoline sunog, agarang emergency.","['Medical', 'Fire']",Red,"[3, 0]",2,fil
144,"flash flood dito sa elementary school, kailangan tignan!",['Natural Disaster'],Yellow,[4],1,fil
145,"Emergency! allergic reaction at sunog sa factory, konting galos lang.","['Medical', 'Fire']",Green,"[3, 0]",0,fil
146,"Nag-report ng bugbugan at jeep tumama sa poste, deceased.","['Crime', 'Accident']",Black,"[1, 2]",3,fil
147,kombulsyon sa Bagong Silang. buhay ang nakataya.,['Medical'],Red,[3],2,fil
148,"Boss may nagwawala ang tao at motor crash, konting galos lang.","['Other', 'Accident']",Green,"[5, 2]",0,fil
149,"burglary and car crash, no injuries.","['Crime', 'Accident']",Green,"[1, 2]",0,en
150,"house fire, minor only.",['Fire'],Green,[0],0,en
151,"Emergency! lindol at diabetic emergency, critical na.","['Natural Disaster', 'Medical']",Red,"[4, 3]",2,fil
152,rollover sa palengke. critical na.,['Accident'],Red,[2],2,fil
153,"Tulong! malakas na ulan at truck nasagasaan ang tao, konting galos lang.","['Natural Disaster', 'Accident']",Green,"[4, 2]",0,fil
154,"Tulong! may nag-aapoy na kotse, malakas na dugo.",['Fire'],Red,[0],2,fil
155,"robbery and vehicle accident at palengke, no signs of life.","['Crime', 'Accident']",Black,"[1, 2]",3,en
156,"jeep tumama sa poste nangyari, hindi makahinga. Padala agad.",['Accident'],Red,[2],2,fil
157,"May buntis manganak, hindi na umaandar.",['Medical'],Black,[3],3,fil
158,"tumatakbo ang apoy nangyari, posibleng bali. padala agad.",['Fire'],Yellow,[0],1,fil
159,"Tulong! nadaganan ng gamit, posibleng bali.",['Accident'],Yellow,[2],1,fil
160,"Boss may nasusunog yung store, kailangan tignan.",['Fire'],Yellow,[0],1,fil
161,"Tulong! duguan, kailangan tignan.",['Medical'],Yellow,[3],1,fil
162,Grabe kuryente sunog at nakawan sa bahay! kailangan tignan. Bilisan!,"['Fire', 'Crime']",Yellow,"[0, 1]",1,fil
163,"emergency! chemical fire, medyo masakit.",['Fire'],Yellow,[0],1,fil
164,"TUMUBALIK NA KURYENTE AT MAY USOK SA KUSINA DITO SA BAGONG SILANG, KONTING GALOS LANG!","['Other', 'Fire']",Green,"[5, 0]",0,fil
165,"Boss may nadulas, malakas na dugo.",['Accident'],Red,[2],2,fil
166,"Boss may banggaan sa highway at malakas na ulan, konting galos lang.","['Accident', 'Natural Disaster']",Green,"[2, 4]",0,fil
167,"Emergency! holdap sa tindahan, deceased.",['Crime'],Black,[1],3,fil
168,"TULONG! STORM SURGE, BUHAY ANG NAKATAYA.",['Natural Disaster'],Red,[4],2,fil
169,"Urgent - building burning and public disturbance, no pulse! po","['Fire', 'Other']",Black,"[0, 5]",3,en
170,"Nag-report ng banggaan sa highway, ok lang.",['Accident'],Green,[2],0,fil
171,"hit and run at sakayan, no injuries.",['Accident'],Green,[2],0,en
172,"nagkagulo ang mga tao nangyari, walang buhay. Padala agad.",['Other'],Black,[5],3,fil
173,"stroke, needs treatment soon. po",['Medical'],Yellow,[3],1,en
174,nahulog na phone sa Poblacion. puwedeng delayed.,['Other'],Yellow,[5],1,fil
175,"Emergency: shooting incident, possible fracture.",['Crime'],Yellow,[1],1,en
176,"Tulong! sugatan, wala nang pulso.",['Medical'],Black,[3],3,fil
177,"Boss may naaksidente sa construction, wala nang pulso. po",['Accident'],Black,[2],3,fil
178,"Emergency: bleeding, safe to wait.",['Medical'],Green,[3],0,en
179,"Emergency! diabetic emergency at kuryente sunog, agarang emergency. po","['Medical', 'Fire']",Red,"[3, 0]",2,fil
180,"Tulong! gasoline sunog, kaya pang maghintay.",['Fire'],Green,[0],0,fil
181,"Biglaang malakas na ulan at gulo sa bar, posibleng bali.","['Natural Disaster', 'Crime']",Yellow,"[4, 1]",1,fil
182,"seizure, life-threatening.",['Medical'],Red,[3],2,en
183,"Biglaang binaril ang tao at may nag-aapoy na kotse, malakas na dugo!","['Crime', 'Fire']",Red,"[1, 0]",2,fil
184,"sunog sa factory dito sa market, posibleng bali!",['Fire'],Yellow,[0],1,fil
185,"Urgent - hostage, possible fracture!",['Crime'],Yellow,[1],1,en
186,"Tulong! nasusunog na building, deceased.",['Fire'],Black,[0],3,fil
187,"Boss may nagliliyab na bahay, kailangan tignan.",['Fire'],Yellow,[0],1,fil
188,"Tulong! naaksidente sa construction, patay na.",['Accident'],Black,[2],3,fil
189,kombulsyon sa market. patay na.,['Medical'],Black,[3],3,fil
190,"Tulong! chemical fire at malakas na ulan, critical na.","['Fire', 'Natural Disaster']",Red,"[0, 4]",2,fil
191,"Emergency! lupa gumuho, posibleng bali.",['Natural Disaster'],Yellow,[4],1,fil
192,"Tulong! may sekswal na guro, hindi na umaandar.",['Other'],Black,[5],3,fil
193,"may kutsilyo dito sa Bagong Silang, malakas na dugo!",['Crime'],Red,[1],2,fil
194,"shooting incident, no injuries.",['Crime'],Green,[1],0,en
195,"Emergency: robbery, possible fracture. pls",['Crime'],Yellow,[1],1,en
196,"Emergency: landslide, no signs of life.",['Natural Disaster'],Black,[4],3,en
197,"Boss may sunog sa bahay, medyo masakit.",['Fire'],Yellow,[0],1,fil
198,buntis manganak at gulo sa bar sa San Jose. kaya pang maghintay.,"['Medical', 'Crime']",Green,"[3, 1]",0,fil
199,Grabe nag-aaway ng malakas! puwedeng delayed. Bilisan!,['Crime'],Yellow,[1],1,fil
200,"Nag-report ng nasagasaan, hindi na umaandar.",['Accident'],Black,[2],3,fil
201,"Nag-report ng hostage situation, kailangan tignan. pls",['Crime'],Yellow,[1],1,fil
202,"riot nangyari, agarang emergency. padala agad.",['Other'],Red,[5],2,fil
203,"Emergency! nadulas, kailangan ng tulong pero stable.",['Accident'],Yellow,[2],1,fil
204,"may taong inuuusapan nang walang tigil at tumatakbo ang apoy dito sa palengke, kailangan agad!","['Other', 'Fire']",Red,"[5, 0]",2,fil
205,"Nag-report ng lupa gumuho at tumubalik na kuryente, konting galos lang. po","['Natural Disaster', 'Other']",Green,"[4, 5]",0,fil
206,"May ulan di tumitigil, walang sugat.",['Natural Disaster'],Green,[4],0,fil
207,"Emergency: general alarm and earthquake, not breathing.","['Other', 'Natural Disaster']",Red,"[5, 4]",2,en
208,Grabe tubig baha sa loob at overdose! malakas na dugo. Bilisan!,"['Natural Disaster', 'Medical']",Red,"[4, 3]",2,fil
209,"Boss may nadaganan ng gamit, konting galos lang.",['Accident'],Green,[2],0,fil
210,"Nag-report ng may nag-aapoy na kotse at lindol, agarang emergency.","['Fire', 'Natural Disaster']",Red,"[0, 4]",2,fil
211,"Biglaang sirang bahay at nahihirapang huminga, kaya pang maghintay!","['Other', 'Medical']",Green,"[5, 3]",0,fil
212,"Boss may nasagasaan at bodega nasusunog, medyo masakit.","['Accident', 'Fire']",Yellow,"[2, 0]",1,fil
213,"Emergency! puno tumama sa bahay, walang sugat.",['Natural Disaster'],Green,[4],0,fil
214,Grabe nakita ang bangkay at hindi humihinga! medyo masakit. Bilisan!,"['Other', 'Medical']",Yellow,"[5, 3]",1,fil
215,"Biglaang hindi humihinga, malakas na dugo!",['Medical'],Red,[3],2,fil
216,tumatakbo ang apoy sa elementary school. kailangan ng tulong pero stable.,['Fire'],Yellow,[0],1,fil
217,"Emergency! nagwawala ang tao at nahulog sa kanal, hindi makahinga.","['Other', 'Accident']",Red,"[5, 2]",2,fil
218,"truck accident at sakayan, severe bleeding. pls",['Accident'],Red,[2],2,en
219,taong nakadating na basta-basta sa San Jose. medyo masakit.,['Other'],Yellow,[5],1,fil
220,"Boss may kuryente sunog, minor lang. po",['Fire'],Green,[0],0,fil
221,"May nag-aaway ng malakas, ok lang.",['Crime'],Green,[1],0,fil
222,"Boss may malakas na ulan at buntis manganak, konting galos lang.","['Natural Disaster', 'Medical']",Green,"[4, 3]",0,fil
223,"Emergency! landslide sa bundok, ok lang.",['Natural Disaster'],Green,[4],0,fil
224,"Tulong! flash flood at hindi humihinga, ok lang.","['Natural Disaster', 'Medical']",Green,"[4, 3]",0,fil
225,"Urgent - storm, no pulse!",['Natural Disaster'],Black,[4],3,en
226,"bleeding and people gathering, safe to wait.","['Medical', 'Other']",Green,"[3, 5]",0,en
227,"nasagasaan at basag na rehistro nangyari, malakas na dugo. Padala agad.","['Accident', 'Other']",Red,"[2, 5]",2,fil
228,"nasusunog na building nangyari, malakas na dugo. Padala agad.",['Fire'],Red,[0],2,fil
229,"truck nasagasaan ang tao nangyari, agarang emergency. Padala agad.",['Accident'],Red,[2],2,fil
230,"nasusunog na building nangyari, minor lang. Padala agad.",['Fire'],Green,[0],0,fil
231,"may bagyo wasak ang bubong, safe naman.",['Natural Disaster'],Green,[4],0,fil
232,"Tulong! heart attack, kailangan ng tulong pero stable.",['Medical'],Yellow,[3],1,fil
233,"Tulong! binaril ang tao, buhay ang nakataya.",['Crime'],Red,[1],2,fil
234,Grabe naaksidente sa construction! critical na. Bilisan!,['Accident'],Red,[2],2,fil
235,"Emergency: heavy rain and hit and run, not breathing. po","['Natural Disaster', 'Accident']",Red,"[4, 2]",2,en
236,"hit and run nangyari, kailangan tignan. padala agad.",['Accident'],Yellow,[2],1,fil
237,"nahihirapang huminga dito sa highway, kaya pang maghintay!",['Medical'],Green,[3],0,fil
238,"Boss may malakas na ulan, kailangan tignan. pls",['Natural Disaster'],Yellow,[4],1,fil
239,ulan di tumitigil at sunog sa factory sa palengke. kailangan ng tulong pero stable.,"['Natural Disaster', 'Fire']",Yellow,"[4, 0]",1,fil
240,"robbery, minor only.",['Crime'],Green,[1],0,en
241,lindol sa elementary school. buhay ang nakataya.,['Natural Disaster'],Red,[4],2,fil
242,"Emergency! banggaan sa highway, kailangan tignan.",['Accident'],Yellow,[2],1,fil
243,Grabe puno tumama sa bahay at mayroon na bukas na iwanan! critical na. Bilisan!,"['Natural Disaster', 'Other']",Red,"[4, 5]",2,fil
244,"May hindi humihinga, kailangan agad.",['Medical'],Red,[3],2,fil
245,"May may sekswal na guro, hindi makahinga.",['Other'],Red,[5],2,fil
246,"May duguan, puwedeng delayed.",['Medical'],Yellow,[3],1,fil
247,"Biglaang buntis manganak, konting galos lang!",['Medical'],Green,[3],0,fil
248,Grabe may kutsilyo! hindi makahinga. Bilisan!,['Crime'],Red,[1],2,fil
249,"Urgent - robbery, minor only!",['Crime'],Green,[1],0,en
250,"Nag-report ng sunog sa bahay, critical na.",['Fire'],Red,[0],2,fil
251,"Emergency: road collision and assault on street, safe to wait.","['Accident', 'Crime']",Green,"[2, 1]",0,en
252,nag-aaksidente ang pulis at nag-aaway ng malakas sa highway. patay na.,"['Other', 'Crime']",Black,"[5, 1]",3,fil
253,"Tulong! may ligtas na tao at hostage situation, posibleng bali.","['Other', 'Crime']",Yellow,"[5, 1]",1,fil
254,flash flood at sunog sa bahay sa tabi ng simbahan. deceased.,"['Natural Disaster', 'Fire']",Black,"[4, 0]",3,fil
255,"binaril ang tao nangyari, walang sugat. Padala agad.",['Crime'],Green,[1],0,fil
256,"Tulong! may kutsilyo, walang sugat.",['Crime'],Green,[1],0,fil
257,"Emergency! ulan di tumitigil, kailangan ng tulong pero stable.",['Natural Disaster'],Yellow,[4],1,fil
258,"riot nangyari, malakas na dugo. Padala agad.",['Other'],Red,[5],2,fil
259,"Urgent - fence collapse, life-threatening!",['Other'],Red,[5],2,en
260,"Boss may motor crash, deceased.",['Accident'],Black,[2],3,fil
261,Grabe may usok sa kusina! medyo masakit. Bilisan!,['Fire'],Yellow,[0],1,fil
262,"Nag-report ng nadulas, kailangan agad.",['Accident'],Red,[2],2,fil
263,"Nag-report ng diabetic emergency, kailangan tignan.",['Medical'],Yellow,[3],1,fil
264,"Nag-report ng sira ang tulay at nahihirapang huminga, kailangan ng tulong pero stable.","['Other', 'Medical']",Yellow,"[5, 3]",1,fil
265,"bangga ng kotse at gulo sa bar dito sa highway, kailangan ng tulong pero stable!","['Accident', 'Crime']",Yellow,"[2, 1]",1,fil
266,Grabe truck nasagasaan ang tao at sunog sa bahay! posibleng bali. Bilisan!,"['Accident', 'Fire']",Yellow,"[2, 0]",1,fil
267,"Tulong! gasoline sunog at naaksidente sa construction, kailangan tignan.","['Fire', 'Accident']",Yellow,"[0, 2]",1,fil
268,"Emergency! kidnapping, ok lang.",['Crime'],Green,[1],0,fil
269,"Emergency! maraming tao sa isang lugar, puwedeng delayed. po",['Other'],Yellow,[5],1,fil
270,"hit and run dito sa palengke, konting galos lang!",['Accident'],Green,[2],0,fil
271,"Nag-report ng bangga ng kotse at may bayong anghang, buhay ang nakataya.","['Accident', 'Other']",Red,"[2, 5]",2,fil
272,"landslide sa bundok at kidnapping dito sa elementary school, critical na!","['Natural Disaster', 'Crime']",Red,"[4, 1]",2,fil
273,"Urgent - burglary, safe to wait!",['Crime'],Green,[1],0,en
274,"Urgent - seizure, no pulse! pls",['Medical'],Black,[3],3,en
275,Grabe sugatan at gasoline sunog! ok lang. Bilisan!,"['Medical', 'Fire']",Green,"[3, 0]",0,fil
276,"Boss may tubig baha sa loob at holdap sa tindahan, wala nang pulso.","['Natural Disaster', 'Crime']",Black,"[4, 1]",3,fil
277,"Boss may sirang bahay, deceased.",['Other'],Black,[5],3,fil
278,Grabe bagyo wasak ang bubong! patay na. Bilisan! po,['Natural Disaster'],Black,[4],3,fil
279,"Biglaang tubig baha sa loob, medyo masakit!",['Natural Disaster'],Yellow,[4],1,fil
280,"Tulong! stroke at bangga ng kotse, kaya pang maghintay.","['Medical', 'Accident']",Green,"[3, 2]",0,fil
281,"Nag-report ng hostage situation, critical na.",['Crime'],Red,[1],2,fil
282,"door forced open, possible fracture.",['Other'],Yellow,[5],1,en
283,"Nag-report ng gulo sa rally at naaksidente sa construction, walang sugat.","['Other', 'Accident']",Green,"[5, 2]",0,fil
