id,text,incident_types,severity,type_labels,severity_label
1899,"Insidente: salpukan ng sasakyan and electrical fire, needs treatment soon.","['Accident', 'Fire']",Yellow,"[0, 2]",1
9039,good morning president preval the people at lagonave are dying of hunger,['Other'],Yellow,[5],1
10430,slacks sweaters tops jacket shoes sheets towels dry and canned food,['Other'],Yellow,[5],1
3416,"Grabe, sunog sa kuryente and pananakit ng dibdib! hindi na humihinga.","['Fire', 'Medical']",Black,"[2, 3]",3
2614,"Inalerto ang mga awtoridad: building on fire na, wala nang buhay.",['Fire'],Black,[2],3
881,"Help! may accident sa road, konti lang sugat.",['Accident'],Green,[0],0
8826,disaster worker babadankpodgi told irin that while windstorms and flooding cannot be prevented the region s storm warning system and better building constructions can help minimise damage,"['Medical', 'Natural Disaster', 'Other']",Red,"[3, 4, 5]",2
5945,massive earthquake rocks haiti no info about indians a major quake of 7 3 magnitude rocked the caribbean nation http bit ly 4v72eo,"['Natural Disaster', 'Other']",Red,"[4, 5]",2
7419,we are at parc sainte therese there is a lot of unrest with the food distribution,['Other'],Yellow,[5],1
3229,"Narinig ko ang epekto ng bagyo and bridge collapse, no injuries reported.","['Natural Disaster', 'Other']",Green,"[4, 5]",0
643,"Parang may may accident sa road and assault, needs treatment soon.","['Accident', 'Crime']",Yellow,"[0, 1]",1
3017,"Emergency na kinasasangkutan ng earthquake damage and electrical fire, wala nang buhay.","['Natural Disaster', 'Fire']",Black,"[2, 4]",3
2454,"There is a nawalang mountaineer reported, kailangan ng tulong pero stable.",['Other'],Yellow,[5],1
2019,"Narinig ko ang building on fire na and karahasan sa bahay, kailangan ng tulong pero stable. pls help","['Fire', 'Crime']",Yellow,"[1, 2]",1
5240,"There is a brownout reported, kailangan ng tulong pero stable.",['Other'],Yellow,[5],1
5140,"Parang may chemical spill and assault, konti lang sugat. pls help","['Other', 'Crime']",Green,"[1, 5]",0
439,"May naiulat na difficulty breathing and electrical fire, needs treatment soon.","['Medical', 'Fire']",Yellow,"[2, 3]",1
1000,"Emergency na kinasasangkutan ng seizure, no signs of life.",['Medical'],Black,[3],3
7515,nato flew thousands of tons relief goods treated thousands of injured cleared debris provided potable water and built various shelters clinics along with school facilities,"['Medical', 'Other']",Red,"[3, 5]",2
10227,hello what can be done to find a good answer from 4636,['Other'],Green,[5],0
2109,"Dispatchunitsforearthquakedamagenaandbrownoutsaarea,kontilangsugat.","['Natural Disaster', 'Other']",Green,"[4, 5]",0
6408,of these 301 were rescued by the norwegian cargo vessel the tampa after their boat sank and the other 228 were taken from the indonesian vessel the aceng which was subequently intercepted by the australian navy,"['Accident', 'Other']",Red,"[0, 5]",2
3636,"uhm Insidente: animal trapped, deceased.",['Other'],Black,[5],3
7964,in niger the government supported by the un used the mdg acceleration framework to bring a diverse range of partners together behind concrete actions designed to have rapid impact by addressing the underlying bottlenecks which have prevented the successful implementation of past plans and which contribute to recurring crises,['Other'],Green,[5],0
10178,the recue work is still being done using manual equipment india which governs the archipelago is reportedly planning to put a cap on the number of mainlanders sailing to the andamans in search of work in a bid to prevent chaos on its 36 inhabited islands home to 356 000 people according to a 2001 national census the partnership launch will be hosted by the center for strategic and international studies csis a leading think tank and convener that provides strategic insights and bipartisan policy solutions to,"['Accident', 'Medical', 'Natural Disaster', 'Other']",Red,"[0, 3, 4, 5]",2
793,"Respondersneededforgunthreatandmayflood,noinjuriesreported.","['Crime', 'Natural Disaster']",Green,"[1, 4]",0
10221,zimbabwe while drought has devastated crops in many areas zimbabwe s overall production was also hampered by insufficient agricultural inputs and by the country s crumbling irrigation system,['Other'],Green,[5],0
1116,"There is a snake sighting reported, posibleng may sugatan.",['Other'],Yellow,[5],1
5031,"Help! seizure, hindi na humihinga.",['Medical'],Black,[3],3
1741,"may Kailangan ng responders para sa may accident sa road and gun threat, no signs of life.","['Accident', 'Crime']",Black,"[0, 1]",3
7598,we are in a very sad situation in fontamara 43 in the area of label hunger is killing the rest of the people who are left save us please,"['Crime', 'Natural Disaster', 'Other']",Black,"[1, 4, 5]",3
6975,notes this message is not important for my work,['Other'],Green,[5],0
2297,"uhm Responders needed for chemical spill and pinsala mula sa lindol, urgent help needed.","['Other', 'Natural Disaster']",Red,"[4, 5]",2
9909,but while floodwaters have subsided in some areas there has been fresh flooding in the north of the state and more heavy rainfall forecast elsewhere,"['Natural Disaster', 'Other']",Red,"[4, 5]",2
1676,"Dispatch units for landslide and hit and run, no injuries reported.","['Natural Disaster', 'Accident']",Green,"[0, 4]",0
943,"Responders needed for motorcycle crash, severe bleeding.",['Accident'],Red,[0],2
7490,making food being home during hurricane sandy,"['Natural Disaster', 'Other']",Red,"[4, 5]",2
3063,"Responders needed for pananakit ng dibdib and baha, hindi na humihinga.","['Medical', 'Natural Disaster']",Black,"[3, 4]",3
9935,i would like to have more information about the earthquake can i sleep indoors,"['Natural Disaster', 'Other']",Red,"[4, 5]",2
6759,clean and sorted winter clothing for men women and girls additional supplies include flashlights batteries and winter footwear,"['Accident', 'Crime', 'Natural Disaster', 'Other']",Yellow,"[0, 1, 4, 5]",1
4685,"uhm Responders needed for sunog sa kusina and nahihirapan huminga, expectant category.","['Fire', 'Medical']",Black,"[2, 3]",3
8237,through the pgei network with its enhanced capability for information sharing building partnerships among key stakeholders policy advocacy and assistance to the government of pakistan in its response to emergencies our hope is that each child in pakistan girl and boy alike will complete a high quality education ms faye said,['Other'],Green,[5],0
4958,"Authorities alerted: aksidente sa trak and may flood, walking wounded. pls help","['Accident', 'Natural Disaster']",Green,"[0, 4]",0
3893,"Insidente: sapilitang pasok, kailangan ng agarang tugon. pls help",['Crime'],Red,[1],2
2818,"Urgent situation: building on fire, posibleng may sugatan.",['Fire'],Yellow,[2],1
818,"Narinig ko ang salpukan ng sasakyan and smoke coming out, walking wounded. pls help","['Accident', 'Fire']",Green,"[0, 2]",0
1422,"Urgent situation: house fyr, kailangan ng agarang tugon.",['Fire'],Red,[2],2
3019,"Kailangan ng responders para sa pinsala mula sa lindol, safe to wait.",['Natural Disaster'],Green,[4],0
6358,also at least 108 are known to have died in floods which inundated vast swathes of the central province of hunan from last week caused by rain described as the heaviest to hit the region in years,"['Crime', 'Natural Disaster', 'Other']",Black,"[1, 4, 5]",3
3616,"There is a building on fire reported, urgent help needed.",['Fire'],Red,[2],2
9064,i ve seen a few disasters first hand but never the level of destruction i saw here over the past two weeks said jim robertson federation relief delegate for east asia back from monitoring aid distributions in the areas devastated by last month s freak rains,"['Natural Disaster', 'Other']",Red,"[4, 5]",2
7355,a snow blizzard started on midnight of 31 december 2000 in gobi central and east parts of the country,"['Natural Disaster', 'Other']",Yellow,"[4, 5]",1
7316,he advised the community radio broadcasters to intensify ebola sensitization using accurate information,['Other'],Yellow,[5],1
8313,atorgolf85 i think sandy was you re official welcome to this area of passaic county thuglife yournotinbloomingdaleanymoreclothes that were sitting in a bag to head to goodwill are now going directly to sandy relief funds hope they like bronx basketb,"['Natural Disaster', 'Other']",Red,"[4, 5]",2
8305,seemingly truncated port au prince we would like to help these people however possible ok,['Other'],Yellow,[5],1
10604,i d love to know what the government is going to do to help the victims in the countryside,['Other'],Yellow,[5],1
3411,"Grabe, house fire! no injuries reported.",['Fire'],Green,[2],0
7711,income from oxfam s shop network was down slightly by 2 5 percent to 22 9m as a shortage of high quality donated goods and an unseasonably warm autumn ate into sales especially of adult clothing,['Other'],Green,[5],0
60,"uhm Incident reported: hit and run, delayed care ok.",['Accident'],Yellow,[0],1
6246,a lot of people are victims even though it s in pernier they did the rice distribution on,['Other'],Yellow,[5],1
8843,although needs still exist especially in the shelter food security and livelihoods sectors which include indebtedness due to loss of income opportunities a prolonged crisis was largely adverted due to the response and close coordination between national and regional authorities and humanitarian partners including the local communities,['Other'],Yellow,[5],1
1544,"Ipadala ang mga yunit para sa house fire, wala nang buhay.",['Fire'],Black,[2],3
3068,"Parang may gulo sa publiko and seizure, posibleng may sugatan.","['Other', 'Medical']",Yellow,"[3, 5]",1
8522,parts of yogyakarta have lost electric power and the mobile phone network has been erratic as people try to contact their families and colleagues,"['Accident', 'Other']",Yellow,"[0, 5]",1
4760,"Critical alert: man with a knife, delayed care ok.",['Crime'],Yellow,[1],1
2866,"may May naiulat na sunog sa bahay, expectant category.",['Fire'],Black,[2],3
7028,i would like to know qu can one make in case an active volcano,"['Accident', 'Fire', 'Natural Disaster', 'Other']",Red,"[0, 2, 4, 5]",2
2808,"Kailangan ng responders para sa hindi humihinga, expectant category.",['Medical'],Black,[3],3
7441,we need in the foundation for the lifting of the help for 2763 victims that we are helping with their difficulties they are from port au prince in the hard situation they are living,['Other'],Yellow,[5],1
5127,"Incident reported: unconscious patient and electrical fire, expectant category.","['Medical', 'Fire']",Black,"[2, 3]",3
9131,in mirgunj about 8 kms from madhipura at least 20 people drowned including a havildar as a rescue boat capsized due to uncontrolled crowd and over loading,"['Accident', 'Crime', 'Medical', 'Natural Disaster', 'Other']",Black,"[0, 1, 3, 4, 5]",3
885,"Authorities alerted: nasusunog na istruktura, safe to wait. uhm",['Fire'],Green,[2],0
5183,"Emergency na kinasasangkutan ng unconscious patient and pagguho ng lupa, safe to wait.","['Medical', 'Natural Disaster']",Green,"[3, 4]",0
5797,the flow is now moving to guddu battage enroute punjnad headworks where according to ffd lahore a high to very high flood discharge in the range of 600 000 cusecs to 70 000 cusecs is expected sometimes between september 15th and september 16th,['Other'],Green,[5],0
2912,"May naiulat na not breathing and banggaan sa kalsada, hindi na humihinga.","['Medical', 'Accident']",Black,"[0, 3]",3
4215,"Insidente: pnnkit nd building on fire n, hindi n humihing.","['Crime', 'Fire']",Black,"[1, 2]",3
5511,"Incident reported: may break-in sa bahay and maraming tao nagkakagulo, expectant category.","['Crime', 'Other']",Black,"[1, 5]",3
6983,hi i can help prepare food serve food offer clean up assistance but don t necessarily have any tools just my hands and willingness to help i only have a bicycle and could maybe help with deliveries i m within walking distance of red hook,['Other'],Yellow,[5],1
7585,we need food water and more address corner of clercine 19 and impasse franois association des jeunes de tabarre,['Other'],Yellow,[5],1
5264,"Inalerto ang mga awtoridad: road crash, wala nang buhay.",['Accident'],Black,[0],3
4618,"may Emergency na kinasasangkutan ng lalaking may kutsilyo, wala nang buhay.",['Crime'],Black,[1],3
5807,we at masson we did not get tant can the un do someting for us,['Other'],Yellow,[5],1
6090,operation objective to meet the urgent needs of some 1 407 500 unassisted and displaced beneficiaries severely affected by the ongoing monsoon season who we re living in their flooded homes river embankments roadways and chars through provision of basic food items family kits medical services small scale agricultural support and low cost housing during the rehabilitation phase,"['Accident', 'Medical', 'Natural Disaster', 'Other']",Red,"[0, 3, 4, 5]",2
2103,"May naiulat na hindi matukoy na emergency, hindi na humihinga.",['Other'],Black,[5],3
6924,according to the provincial observatory the center of the storm is moving eastward to shanwei city on the eastern coast of guangdong which is receiving up to 112 millimeters of rain per hour,"['Natural Disaster', 'Other']",Red,"[4, 5]",2
6995,officials said earlier this month the relentless rains had killed at least 20 people,"['Crime', 'Natural Disaster', 'Other']",Black,"[1, 4, 5]",3
5570,"Incident reported: hindi mtukoy n tunog nd not brething, hindi n humihing.","['Other', 'Medical']",Black,"[3, 5]",3
8123,distribution of water helping in shelters and temporary sites,['Other'],Yellow,[5],1
4685,"uhm Responders needed for sunog sa kusina and nahihirapan huminga, expectant category.","['Fire', 'Medical']",Black,"[2, 3]",3
9570,the price of gas before the earthquake was 130 gourdes gallon price is now 5000 gourdes gallon,"['Natural Disaster', 'Other']",Red,"[4, 5]",2
1373,"Agrng sitwsyon: hit nd run, needs tretment soon.",['Accident'],Yellow,[0],1
6128,bishkek 6 october 2008 irin an earthquake that jolted southern kyrgyzstan on the evening of 5 october killed at least 70 people and destroyed over 100 houses in a remote village according to officials,"['Accident', 'Crime', 'Natural Disaster', 'Other']",Black,"[0, 1, 4, 5]",3
4387,"Parang may nasusunog na istruktura, life-threatening injuries.",['Fire'],Red,[2],2
1295,"Incident reported: sunog sa kuryente and tao bumagsak, life-threatening injuries.","['Fire', 'Medical']",Red,"[2, 3]",2
2325,"Agarang sitwasyon: road blockage and epekto ng bagyo, hindi na humihinga.","['Other', 'Natural Disaster']",Black,"[4, 5]",3
2021,"Urgentsituation:vehiclecollision,possiblefracture.",['Accident'],Yellow,[0],1
7015,ok here is the media 2000 in tigoav needs aids or in the gas affairs that is energy juste to give this information thanks,['Other'],Green,[5],0
9695,urtfamily things r ok where i live problems r in concepcion south where cousins live cause they ve no light no water nothing,"['Accident', 'Other']",Yellow,"[0, 5]",1
10412,is there danger of earthquake in haiti again,"['Natural Disaster', 'Other']",Red,"[4, 5]",2
7038,according to studies the quake moved concepcion about 10 feet 3 04m west and santiago about 11 inches 28cm west southwest,"['Natural Disaster', 'Other']",Red,"[4, 5]",2
5465,"Inalerto ang mga awtoridad: building on fire na and earthquake damage na, no signs of life.","['Fire', 'Natural Disaster']",Black,"[2, 4]",3
10153,these recurrent severe floods along with the high salt levels may well represent the new normal here in pakistan so a big part of action against hunger s work will focus on developing new strategies for farming introducing salt resistant crops and finding novel cost effective ways to desalinate water for household use,['Other'],Green,[5],0
3266,"Insidente: gulo s publiko nd person collpsed, sfe to wit.","['Other', 'Medical']",Green,"[3, 5]",0
8846,the epicenter located 90 km south of sinabang with 30 km depth 2 065 n 97 010 e,['Other'],Green,[5],0
8325,they need baby food milk food and drinking water,['Other'],Yellow,[5],1
9407,area households are still being classified as extremely foodinsecure,['Other'],Yellow,[5],1
5266,"Prng my mlks n uln nd difficulty brething, hindi n humihing.","['Natural Disaster', 'Medical']",Black,"[3, 4]",3
3736,"Kritikal na alerto: typhoon impact, safe to wait.",['Natural Disaster'],Green,[4],0
3050,"Incident reported: loud explosion sound, no signs of life. pls help",['Other'],Black,[5],3
7112,road and rail transport and telecommunication facilities to the region have been shattered and the region remains virtually cut off from the rest of the country,"['Accident', 'Other']",Yellow,"[0, 5]",1
8471,he told the police to take us to the refugee camp but after he left they beat us and fired bullets over our heads she said crying and showing a badly swollen leg that had not healed two months after one of the policemen struck it with the barrel of his gun,"['Crime', 'Other']",Yellow,"[1, 5]",1
5338,"Narinig ko ang difficulty breathing and sunog sa kuryente, expectant category.","['Medical', 'Fire']",Black,"[2, 3]",3
7407,we are in leogane in the part at point of the river at this moment we can t get anything not even a little water we can find the water get dirty after every aftershock,"['Natural Disaster', 'Other']",Red,"[4, 5]",2
7084,barely a week ago a much stronger tremor struck algeria killing more than 2 200 people,"['Crime', 'Natural Disaster', 'Other']",Black,"[1, 4, 5]",3
4478,"Dispatch units for baha, kailangan ng tulong pero stable.",['Natural Disaster'],Yellow,[4],1
7712,i m only hungry can you come and help me please,['Other'],Yellow,[5],1
9377,putih river and pabelan river severe overflow carrying mud and volcanic material that could endanger the residents he said firemen had put out 32 fires in the past 24 hours but 20 new fires had broken out in the same period the nyiragongo volcano is still very active all informants pointed out that for more than 30 months neither the main gu rainy season in april mai june nor the small deyr rainy season october december have yielded any sizeable amount of water the continuous downpour led to a rise in water,"['Accident', 'Crime', 'Fire', 'Natural Disaster', 'Other']",Black,"[0, 1, 2, 4, 5]",3
5215,"uhm Dispatch units for road crash and building on fire, urgent help needed.","['Accident', 'Fire']",Red,"[0, 2]",2
9995,now the few water tanks used to collect rainwater have been destroyed,['Other'],Green,[5],0
2659,"Help! lalaking may kutsilyo, needs treatment soon.",['Crime'],Yellow,[1],1
5357,"Critical alert: may taong bumagsak, possible fracture.",['Medical'],Yellow,[3],1
10320,feeding the family post sandy 5 napkin burger w 3 others http t co lx1wqi6e,['Other'],Green,[5],0
215,"Authorities alerted: unconscious patient and nag-assault, no signs of life.","['Medical', 'Crime']",Black,"[1, 3]",3
2544,"Urgent situation: salpukan ng sasakyan and unconscious patient, walking wounded.","['Accident', 'Medical']",Green,"[0, 3]",0
5539,"Emergency reported involving building on fire na, wala nang buhay.",['Fire'],Black,[2],3
7231,plenty of mud finds its way on to the roads making driving conditions hazardous,['Other'],Green,[5],0
5607,"Narinig ko ang road crash and unconscious patient, delayed care ok.","['Accident', 'Medical']",Yellow,"[0, 3]",1
1348,"Help! nasusunog na gusali, possible fracture.",['Fire'],Yellow,[2],1
4812,"Incident reported: may accident sa road and building on fire na, no signs of life.","['Accident', 'Fire']",Black,"[0, 2]",3
7085,he said the pipeline blast was a clear example that there was no guarantee for people s safety or lives at the mudflow site,['Other'],Green,[5],0
1620,"Parang may smoke coming out, hindi na humihinga.",['Fire'],Black,[2],3
6691,in contrast to conditions in the south china s northern regions have seen more rain than usual this summer,"['Natural Disaster', 'Other']",Red,"[4, 5]",2
5695,"may Urgent situation: nawawalang tao, life-threatening injuries.",['Other'],Red,[5],2
5974,fighting is continuing in some parts of the north the malian army lacks any significant presence in kidal the last town in the desert north yet to fall under government control where mnla tuareg separatists have a stronghold and new threat has now emerged in the form of marauding gangs regularly attacking villages and food supplies,"['Crime', 'Other']",Yellow,"[1, 5]",1
8316,air force c 17s and c 130s delivered 19 generators to misawa air base for the base s power system and resupply pallets to yokota air base,"['Accident', 'Medical', 'Natural Disaster', 'Other']",Red,"[0, 3, 4, 5]",2
4158,"Kailanganngrespondersparasaroadcrashandkombulsyon,possiblefracture.","['Accident', 'Medical']",Yellow,"[0, 3]",1
4221,"There is a armadong pagnanakaw reported, kailangan ng agarang tugon.",['Crime'],Red,[1],2
5512,"Authorities alerted: epekto ng bagyo, walking wounded.",['Natural Disaster'],Green,[4],0
5697,"uhm Help! walang malay na pasyente, severe bleeding.",['Medical'],Red,[3],2
4534,"Responders needed for kombulsyon and unknown emergency, delayed care ok.","['Medical', 'Other']",Yellow,"[3, 5]",1
7996,a kid asks has her father dad when mom separates the legs you see what the father answers the doors of the paradise the son says then and you you have what e,['Other'],Green,[5],0
3598,"Thereisanahihirapanghumingaandcaraccidentreported,nosignsoflife.","['Medical', 'Accident']",Black,"[0, 3]",3
7357,others put it down to infighting within the ranks of pro government forces,['Other'],Green,[5],0
5447,"There is a amoy na nakakalason reported, expectant category.",['Other'],Black,[5],3
2464,"There is a truck bangga and brownout reported, walang agarang panganib.","['Accident', 'Other']",Green,"[0, 5]",0
9271,in bihar fresh areas were submerged by overflowing river waters affecting large stretches of railway track and roads including the national highway,"['Accident', 'Natural Disaster', 'Other']",Red,"[0, 4, 5]",2
9912,after the flooding subsides there is a second health crisis this one brought on by contaminated water outbreaks of diarrheal disease and other deadly infections says bas vanderzalm president of medical teams international,['Other'],Green,[5],0
10244,the mudflow disaster have expelled more than 10 000 people from houses in a number of villages in porong district sidoarjo regency east java because their villages have been inundated by the mud,"['Accident', 'Natural Disaster', 'Other']",Red,"[0, 4, 5]",2
4238,"Help! chest pain and lost child, konti lang sugat.","['Medical', 'Other']",Green,"[3, 5]",0
10227,hello what can be done to find a good answer from 4636,['Other'],Green,[5],0
9166,send the red cross there is a little kid who fell into the toilet of the pea house in cite militaire,"['Medical', 'Other']",Red,"[3, 5]",2
1285,"There is a tao bumagsak reported, posibleng may sugatan. pls help",['Medical'],Yellow,[3],1
1242,"Narinig ko ang road crash, severe bleeding.",['Accident'],Red,[0],2
7607,additionally a suspected case of highly contagious haemorrhagic fever has been isolated in quake hit bagh although the diagnosis has not been confirmed,"['Medical', 'Natural Disaster', 'Other']",Red,"[3, 4, 5]",2
1854,"Emergency na kinasasangkutan ng tao bumagsak, kailangan ng tulong pero stable. pls help",['Medical'],Yellow,[3],1
1443,"Help! banggaan sa kalsada, not breathing.",['Accident'],Red,[0],2
4021,"Kailangan ng responders para sa seizure and armed robbery, hindi na humihinga.","['Medical', 'Crime']",Black,"[1, 3]",3
4114,"Parang may sapilitang pasok and earthquake damage na, needs treatment soon.","['Crime', 'Natural Disaster']",Yellow,"[1, 4]",1
4483,"Responders needed for may fire sa bahay and may aksdn sa road, kailangan ng tulong pero stable.","['Fire', 'Accident']",Yellow,"[0, 2]",1
4490,"Emergency na kinasasangkutan ng protest turned violent and walang malay na pasyente, expectant category.","['Other', 'Medical']",Black,"[3, 5]",3
684,"Incident reported: banggaan ng motorsiklo, wala nang buhay.",['Accident'],Black,[0],3
9278,water borne diseases have broken out at an alarming rate as people are forced to drink unsafe water,['Other'],Green,[5],0
2808,"Kailangan ng responders para sa hindi humihinga, expectant category.",['Medical'],Black,[3],3
6468,mumbai july 31 afp torrential rain lashed mumbai again sunday disrupting flights hampering rescue efforts and bringing more misery as the death toll from the heaviest downpours in the indian city s history neared 1 000,"['Accident', 'Crime', 'Natural Disaster', 'Other']",Black,"[0, 1, 4, 5]",3
9913,in addition to the smaller aircraft we are now pushing in heavylift helicopters which have not been damaged or destroyed by the tsunami,['Other'],Green,[5],0
5754,tawangmangu indonesia dec 27 2007 afp indonesian rescuers pulled corpses from mud thursday as they hunted for victims of landslides and floods on java island that have left more than 130 people feared dead officials said,"['Crime', 'Natural Disaster', 'Other']",Black,"[1, 4, 5]",3
9033,the government had banned the camps fearing boko haram fighters might use them as bases to launch attacks in niger and nigeria as part of their drive to carve out an islamic caliphate according to fao who there is no evidence that fish and seafood borne illnesses have increased in asian countries hit by the tsunami and no evidence epidemiological or otherwise of any increased risk,['Other'],Green,[5],0
8130,the world food programme has already pre positioned around 350 000 tons of mixed foods in five locations around the country for rapid deployment to the most vulnerable families,['Other'],Yellow,[5],1
10329,i would like to know if he will have a earthquake this year,"['Natural Disaster', 'Other']",Red,"[4, 5]",2
7138,the mercy is normally kept in reduced operating status with an on board civilian mariner crew of 12 and a hospital support staff of 58 military personnel who care for the ship s hospital facilities equipment and supplies,"['Accident', 'Crime', 'Medical', 'Other']",Red,"[0, 1, 3, 5]",2
6524,beijing may 20 xinhua following are the latest facts and figures about the massive 8 0 magnitude earthquake that rocked southwest china s sichuan province on may 12,"['Natural Disaster', 'Other']",Red,"[4, 5]",2
6541,srinagar india nov 8 afp a leading separatist leader angered at the teargassing of earthquake survivors as they surged towards the kashmir frontier called tuesday on india and pakistan to ease travel restrictions on kashmiris,"['Accident', 'Natural Disaster', 'Other']",Red,"[0, 4, 5]",2
1715,"uhm Kailangan ng responders para sa nag-crash yung kotse, delayed care ok.",['Accident'],Yellow,[0],1
6468,mumbai july 31 afp torrential rain lashed mumbai again sunday disrupting flights hampering rescue efforts and bringing more misery as the death toll from the heaviest downpours in the indian city s history neared 1 000,"['Accident', 'Crime', 'Natural Disaster', 'Other']",Black,"[0, 1, 4, 5]",3
1561,"May naiulat na smoke lumalabas and bridge collapse, wala nang buhay.","['Fire', 'Other']",Black,"[2, 5]",3
4986,"Insidente: house fire, life-threatening injuries.",['Fire'],Red,[2],2
3776,"Ipadala ang mga yunit para sa building on fire na and salpukan ng sasakyan, deceased.","['Fire', 'Accident']",Black,"[0, 2]",3
3372,"Insidente: may lost child and truck accident, kailangan ng agarang tugon.","['Other', 'Accident']",Red,"[0, 5]",2
6693,substantial contributions from developed countries agreement on sustainable agricultural policies technology transfer equitable and fair trade rules for food and agricultural products with preferential treatment for least developed countries and the removal of agricultural subsidies in the developed world would also be sought,['Other'],Green,[5],0
1664,"Ipadala ang mga yunit para sa malakas na ulan and burning structure, hindi na humihinga.","['Natural Disaster', 'Fire']",Black,"[2, 4]",3
3758,"uhm Dispatch units for sunog sa kusina, walang agarang panganib.",['Fire'],Green,[2],0
8603,seismologists at the central weather bureau said the sea had reduced the destructive power of the tremor,"['Natural Disaster', 'Other']",Red,"[4, 5]",2
102,"Dispatch units for break-in and may flood, expectant category.","['Crime', 'Natural Disaster']",Black,"[1, 4]",3
6517,uh oh there goes the neighborhood pic rt newyorkist battery park esplanade but water now about 4 5 deep sandy http t co sn29swre,['Other'],Green,[5],0
7013,even if we cleaned them all the incoming tide would deposit a fresh layer of sludge,['Other'],Green,[5],0
4402,"Grabe,gasleakandearthquakedamage!walanangbuhay.","['Other', 'Natural Disaster']",Black,"[4, 5]",3
6532,p haiti earthquake http bit ly 8okesh magnitude 7 0 earthquake hits haiti,"['Natural Disaster', 'Other']",Red,"[4, 5]",2
6490,support one of the organizations helping on the ground in haiti during this post earthquake engagement http angelmissionshaiti org,"['Natural Disaster', 'Other']",Red,"[4, 5]",2
3922,"Emergency na kinasasangkutan ng truck bangga and sunog sa kusina, expectant category.","['Accident', 'Fire']",Black,"[0, 2]",3
870,"Kritikal na alerto: flooding and lalaking may kutsilyo, wala nang buhay.","['Natural Disaster', 'Crime']",Black,"[1, 4]",3
563,"uhm May naiulat na kitchen fire, deceased.",['Fire'],Black,[2],3
214,"Urgent situation: walang malay na pasyente and lalaking may kutsilyo, no signs of life.","['Medical', 'Crime']",Black,"[1, 3]",3
5287,"Critical alert: smoke coming out and karahasan sa bahay, no injuries reported.","['Fire', 'Crime']",Green,"[1, 2]",0
7844,as days pass and the weather becomes warmer and warmer at gojal the glaciers melt rapidly and frequency of glof s increase the water bomb becomes more and more perilous,"['Natural Disaster', 'Other']",Yellow,"[4, 5]",1
